
==================== Start of Run 69 ====================
Generation: 0, Best Fitness: 17747.10, Mean Fitness: 16582.83
Generation: 31, Best Fitness: 20310.10, Mean Fitness: 16814.55
Generation: 32, Best Fitness: 20450.10, Mean Fitness: 16777.93
Generation: 33, Best Fitness: 20357.10, Mean Fitness: 16785.05
Generation: 34, Best Fitness: 20272.10, Mean Fitness: 16811.94
Generation: 35, Best Fitness: 20394.10, Mean Fitness: 16846.74
Generation: 36, Best Fitness: 20394.10, Mean Fitness: 16766.98
Generation: 37, Best Fitness: 20406.10, Mean Fitness: 16808.46
Generation: 38, Best Fitness: 20415.10, Mean Fitness: 16870.61
Generation: 39, Best Fitness: 20358.10, Mean Fitness: 16834.65
Generation: 40, Best Fitness: 20377.10, Mean Fitness: 16927.23
Generation: 41, Best Fitness: 20345.10, Mean Fitness: 16851.55
Generation: 42, Best Fitness: 20397.10, Mean Fitness: 16772.03
Generation: 43, Best Fitness: 20385.10, Mean Fitness: 16777.30
Generation: 44, Best Fitness: 20420.10, Mean Fitness: 16830.08
Generation: 45, Best Fitness: 20447.10, Mean Fitness: 16836.31
Generation: 46, Best Fitness: 20468.10, Mean Fitness: 16758.05
Generation: 47, Best Fitness: 20474.10, Mean Fitness: 16716.41
Generation: 48, Best Fitness: 20420.10, Mean Fitness: 16600.98
Generation: 49, Best Fitness: 20601.10, Mean Fitness: 16774.91
Generation: 50, Best Fitness: 20584.10, Mean Fitness: 16744.86
Generation: 51, Best Fitness: 20507.10, Mean Fitness: 16755.59
Generation: 52, Best Fitness: 20549.10, Mean Fitness: 16729.53
Generation: 53, Best Fitness: 20545.10, Mean Fitness: 16835.23
Generation: 54, Best Fitness: 20662.10, Mean Fitness: 16792.65
Generation: 55, Best Fitness: 20623.10, Mean Fitness: 16686.83
Generation: 56, Best Fitness: 20623.10, Mean Fitness: 16837.07
Generation: 57, Best Fitness: 20610.10, Mean Fitness: 16797.93
Generation: 58, Best Fitness: 20669.10, Mean Fitness: 16783.36
Generation: 59, Best Fitness: 20685.10, Mean Fitness: 16834.70
Generation: 60, Best Fitness: 20746.10, Mean Fitness: 16786.09
Generation: 61, Best Fitness: 20746.10, Mean Fitness: 16753.53
Generation: 62, Best Fitness: 20841.10, Mean Fitness: 16854.97
Generation: 63, Best Fitness: 20794.10, Mean Fitness: 16789.99
Generation: 64, Best Fitness: 20739.10, Mean Fitness: 16916.14
Generation: 65, Best Fitness: 20750.10, Mean Fitness: 16868.54
Generation: 66, Best Fitness: 20833.10, Mean Fitness: 16892.81
Generation: 67, Best Fitness: 20752.10, Mean Fitness: 16874.53
Generation: 68, Best Fitness: 20799.10, Mean Fitness: 16868.65
Generation: 69, Best Fitness: 20721.10, Mean Fitness: 16876.32
Generation: 70, Best Fitness: 20731.10, Mean Fitness: 16870.39
Generation: 71, Best Fitness: 20776.10, Mean Fitness: 16789.42
Generation: 72, Best Fitness: 20699.10, Mean Fitness: 16903.15
Generation: 73, Best Fitness: 20766.10, Mean Fitness: 16855.86
Generation: 74, Best Fitness: 20768.10, Mean Fitness: 16918.75
Generation: 75, Best Fitness: 20732.10, Mean Fitness: 16851.86
Generation: 76, Best Fitness: 20815.10, Mean Fitness: 16915.14
Generation: 77, Best Fitness: 20859.10, Mean Fitness: 16872.71
Generation: 78, Best Fitness: 20846.10, Mean Fitness: 16757.50
Generation: 79, Best Fitness: 20842.10, Mean Fitness: 16880.46
Generation: 80, Best Fitness: 20793.10, Mean Fitness: 16861.56
Generation: 81, Best Fitness: 20815.10, Mean Fitness: 16827.09
Generation: 82, Best Fitness: 20773.10, Mean Fitness: 16912.61
Generation: 83, Best Fitness: 20871.10, Mean Fitness: 16857.23
Generation: 84, Best Fitness: 20878.10, Mean Fitness: 16838.39
Generation: 85, Best Fitness: 20848.10, Mean Fitness: 16790.55
Generation: 86, Best Fitness: 20950.10, Mean Fitness: 16825.53
Generation: 87, Best Fitness: 20863.10, Mean Fitness: 16872.56
Generation: 88, Best Fitness: 20904.10, Mean Fitness: 16859.39
Generation: 89, Best Fitness: 20851.10, Mean Fitness: 16905.78
Generation: 90, Best Fitness: 20911.10, Mean Fitness: 16916.65
Generation: 91, Best Fitness: 20875.10, Mean Fitness: 16920.42
Generation: 92, Best Fitness: 20923.10, Mean Fitness: 16947.66
Generation: 93, Best Fitness: 20923.10, Mean Fitness: 16920.98
Generation: 94, Best Fitness: 20991.10, Mean Fitness: 16884.97
Generation: 95, Best Fitness: 20944.10, Mean Fitness: 16837.20
Generation: 96, Best Fitness: 20931.10, Mean Fitness: 16826.59
Generation: 97, Best Fitness: 20907.10, Mean Fitness: 16812.57
Generation: 98, Best Fitness: 20900.10, Mean Fitness: 16876.29
Generation: 99, Best Fitness: 20910.10, Mean Fitness: 16879.67
Generation: 100, Best Fitness: 20943.10, Mean Fitness: 16947.55
Generation: 101, Best Fitness: 20969.10, Mean Fitness: 16802.02
Generation: 102, Best Fitness: 21007.10, Mean Fitness: 16822.21
Generation: 103, Best Fitness: 21060.10, Mean Fitness: 16763.06
Generation: 104, Best Fitness: 21165.10, Mean Fitness: 16752.83
Generation: 105, Best Fitness: 21107.10, Mean Fitness: 16836.92
Generation: 106, Best Fitness: 21134.10, Mean Fitness: 16734.65
Generation: 107, Best Fitness: 21155.10, Mean Fitness: 16806.82
Generation: 108, Best Fitness: 21123.10, Mean Fitness: 16866.98
Generation: 109, Best Fitness: 21125.10, Mean Fitness: 16830.16
Generation: 110, Best Fitness: 21157.10, Mean Fitness: 16897.54
Generation: 111, Best Fitness: 21128.10, Mean Fitness: 16873.51
Generation: 112, Best Fitness: 21162.10, Mean Fitness: 16845.55
Generation: 113, Best Fitness: 21218.10, Mean Fitness: 16931.15
Generation: 114, Best Fitness: 21162.10, Mean Fitness: 16887.16
Generation: 115, Best Fitness: 21162.10, Mean Fitness: 16896.13
Generation: 116, Best Fitness: 21201.10, Mean Fitness: 16890.71
Generation: 117, Best Fitness: 21214.10, Mean Fitness: 16835.61
Generation: 118, Best Fitness: 21158.10, Mean Fitness: 16830.39
Generation: 119, Best Fitness: 21133.10, Mean Fitness: 16784.23
Generation: 120, Best Fitness: 21150.10, Mean Fitness: 16873.56
Generation: 121, Best Fitness: 21155.10, Mean Fitness: 16926.67
Generation: 122, Best Fitness: 21175.10, Mean Fitness: 16843.59
Generation: 123, Best Fitness: 21237.10, Mean Fitness: 16856.19
Generation: 124, Best Fitness: 21237.10, Mean Fitness: 16857.08
Generation: 125, Best Fitness: 21191.10, Mean Fitness: 16901.79
Generation: 126, Best Fitness: 21153.10, Mean Fitness: 16898.90
Generation: 127, Best Fitness: 21151.10, Mean Fitness: 16925.65
Generation: 128, Best Fitness: 21085.10, Mean Fitness: 16893.68
Generation: 129, Best Fitness: 21115.10, Mean Fitness: 16874.26
Generation: 130, Best Fitness: 21180.10, Mean Fitness: 16899.37
Generation: 131, Best Fitness: 21277.10, Mean Fitness: 16896.25
Generation: 132, Best Fitness: 21182.10, Mean Fitness: 16887.79
Generation: 133, Best Fitness: 21229.10, Mean Fitness: 16936.60
Generation: 134, Best Fitness: 21351.10, Mean Fitness: 16909.36
Generation: 135, Best Fitness: 21351.10, Mean Fitness: 16858.29
Generation: 136, Best Fitness: 21256.10, Mean Fitness: 16876.30
Generation: 137, Best Fitness: 21310.10, Mean Fitness: 16905.86
Generation: 138, Best Fitness: 21282.10, Mean Fitness: 16895.79
Generation: 139, Best Fitness: 21291.10, Mean Fitness: 16867.31
Generation: 140, Best Fitness: 21296.10, Mean Fitness: 16869.11
Generation: 141, Best Fitness: 21345.10, Mean Fitness: 16871.15
Generation: 142, Best Fitness: 21373.10, Mean Fitness: 16867.14
Generation: 143, Best Fitness: 21356.10, Mean Fitness: 16891.74
Generation: 144, Best Fitness: 21334.10, Mean Fitness: 16912.07
Generation: 145, Best Fitness: 21469.10, Mean Fitness: 16906.71
Generation: 146, Best Fitness: 21374.10, Mean Fitness: 16900.78
Generation: 147, Best Fitness: 21369.10, Mean Fitness: 16714.71
Generation: 148, Best Fitness: 21398.10, Mean Fitness: 16905.37
Generation: 149, Best Fitness: 21384.10, Mean Fitness: 16919.43
Generation: 150, Best Fitness: 21384.10, Mean Fitness: 16906.16
Generation: 151, Best Fitness: 21457.10, Mean Fitness: 16908.50
Generation: 152, Best Fitness: 21375.10, Mean Fitness: 16918.56
Generation: 153, Best Fitness: 21409.10, Mean Fitness: 16821.08
Generation: 154, Best Fitness: 21464.10, Mean Fitness: 16890.39
Generation: 155, Best Fitness: 21464.10, Mean Fitness: 16859.70
Generation: 156, Best Fitness: 21464.10, Mean Fitness: 16885.44
Generation: 157, Best Fitness: 21478.10, Mean Fitness: 16832.85
Generation: 158, Best Fitness: 21488.10, Mean Fitness: 16871.94
Generation: 159, Best Fitness: 21498.10, Mean Fitness: 16784.21
Generation: 160, Best Fitness: 21514.10, Mean Fitness: 16830.42
Generation: 161, Best Fitness: 21584.10, Mean Fitness: 16759.49
Generation: 162, Best Fitness: 21606.10, Mean Fitness: 16855.69
Generation: 163, Best Fitness: 21583.10, Mean Fitness: 16916.85
Generation: 164, Best Fitness: 21622.10, Mean Fitness: 16872.53
Generation: 165, Best Fitness: 21594.10, Mean Fitness: 16774.13
Generation: 166, Best Fitness: 21594.10, Mean Fitness: 16932.02
Generation: 167, Best Fitness: 21561.10, Mean Fitness: 16897.45
Generation: 168, Best Fitness: 21524.10, Mean Fitness: 16959.75
Generation: 169, Best Fitness: 21493.10, Mean Fitness: 16892.41
Generation: 170, Best Fitness: 21473.10, Mean Fitness: 16893.99
Generation: 171, Best Fitness: 21539.10, Mean Fitness: 16886.97
Generation: 172, Best Fitness: 21473.10, Mean Fitness: 16925.27
Generation: 173, Best Fitness: 21565.10, Mean Fitness: 16827.78
Generation: 174, Best Fitness: 21531.10, Mean Fitness: 16898.95
Generation: 175, Best Fitness: 21577.10, Mean Fitness: 16906.66
Generation: 176, Best Fitness: 21650.10, Mean Fitness: 16899.19
Generation: 177, Best Fitness: 21571.10, Mean Fitness: 16925.27
Generation: 178, Best Fitness: 21572.10, Mean Fitness: 16921.40
Generation: 179, Best Fitness: 21599.10, Mean Fitness: 16918.84
Generation: 180, Best Fitness: 21633.10, Mean Fitness: 16914.09
Generation: 181, Best Fitness: 21633.10, Mean Fitness: 16908.58
Generation: 182, Best Fitness: 21645.10, Mean Fitness: 16940.77
Generation: 183, Best Fitness: 21591.10, Mean Fitness: 16894.24
Generation: 184, Best Fitness: 21657.10, Mean Fitness: 16901.87
Generation: 185, Best Fitness: 21625.10, Mean Fitness: 16887.10
Generation: 186, Best Fitness: 21609.10, Mean Fitness: 16897.10
Generation: 187, Best Fitness: 21593.10, Mean Fitness: 16728.66
Generation: 188, Best Fitness: 21545.10, Mean Fitness: 16982.03
Generation: 189, Best Fitness: 21532.10, Mean Fitness: 16951.39
Generation: 190, Best Fitness: 21593.10, Mean Fitness: 16931.68
Generation: 191, Best Fitness: 21589.10, Mean Fitness: 16921.60
Generation: 192, Best Fitness: 21577.10, Mean Fitness: 16929.95
Generation: 193, Best Fitness: 21609.10, Mean Fitness: 16965.28
Generation: 194, Best Fitness: 21604.10, Mean Fitness: 16888.70
Generation: 195, Best Fitness: 21555.10, Mean Fitness: 16954.36
Generation: 196, Best Fitness: 21535.10, Mean Fitness: 16929.76
Generation: 197, Best Fitness: 21580.10, Mean Fitness: 16919.80
Generation: 198, Best Fitness: 21615.10, Mean Fitness: 16963.08
Generation: 199, Best Fitness: 21507.10, Mean Fitness: 16919.13
Generation: -1, Best Fitness: 21507.10, Mean Fitness: 16919.13
==================== End of Run 69 ====================
